url,comentador,comentario,likes_comentario,sentimento,data_recolhimento,likes_publicacao,publicador,sentimento_score,sentimento_label,sentimento_invertido,pca1,pca2,cluster
https://www.instagram.com/eduardopaes/reel/DI4IA2eutt8/,belathaty,👏👏😍,2,"sentimento: {label: 1 star, score: 0.27742263674736023}",2025-05-28 22:53:16.929103,3731,eduardopaes,0.27742263674736023,1,0.7225773632526398,-1.5073921762969433,1.2921958850102364,1
https://www.instagram.com/eduardopaes/reel/DIvTBLMMBkq/,fatimalucciana,Viva Chico!,2,"sentimento: {label: 5 stars, score: 0.6593467593193054}",2025-05-28 22:58:21.767492,10247,eduardopaes,0.6593467593193054,5,0.3406532406806946,-0.5206763220535143,-0.20827278621173292,1
https://www.instagram.com/eduardopaes/reel/DIvTBLMMBkq/,jarsonbarbosa,😢😢,1,"sentimento: {label: 1 star, score: 0.25088343024253845}",2025-05-28 22:58:31.019079,10247,eduardopaes,0.25088343024253845,1,0.7491165697574615,-1.5130700913258974,1.3993173174190245,1
https://www.instagram.com/eduardopaes/reel/DI-GU6sMa-A/,chicaobulhoes,👏🏼👏🏼👏🏼,2,"sentimento: {label: NEUTRAL, score: 0.9227190017700195}",2025-05-28 10:07:05.547387,4710,eduardopaes,0.9227190017700195,NEUTRAL,0.07728099822998047,0.06729219337670778,-1.2492459675050482,0
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,professoracarolmendonca,Eduardo Pai ❤️,232,"sentimento: {label: NEUTRAL, score: 0.808107852935791}",2025-05-28 09:56:01.865194,112343,eduardopaes,0.808107852935791,NEUTRAL,0.19189214706420898,1.0927795354452998,-0.3872179358036547,0
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,minhochaves,te amo papai,14,"sentimento: {label: NEUTRAL, score: 0.5619045495986938}",2025-05-28 09:56:02.957047,112343,eduardopaes,0.5619045495986938,NEUTRAL,0.43809545040130615,0.20030785584274555,0.2572229183485891,1
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,euniltonbeck888,Como faço p votar no RJ?,1,"sentimento: {label: NEUTRAL, score: 0.805487334728241}",2025-05-28 09:56:03.917655,112343,eduardopaes,0.805487334728241,NEUTRAL,0.19451266527175903,0.7737053446477102,-0.721743765952721,0
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,miltoncunhaoficial,Maravilhoso líder!,1171,"sentimento: {label: NEUTRAL, score: 0.41551047563552856}",2025-05-28 09:56:05.087935,112343,eduardopaes,0.41551047563552856,NEUTRAL,0.5844895243644714,1.411405234051965,2.5611521102817525,2
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,andrebaliera,"Esse cara é gente boa, né?",6,"sentimento: {label: NEUTRAL, score: 0.48493123054504395}",2025-05-28 09:56:06.452783,112343,eduardopaes,0.48493123054504395,NEUTRAL,0.515068769454956,0.002720239224063291,0.5485054949058773,1
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,andersoncrisrj,O melhor administrador de todos os tempos no Rio de Janeiro! Viva Dudu!!!!,24,"sentimento: {label: NEUTRAL, score: 0.6087433099746704}",2025-05-28 09:56:07.941444,112343,eduardopaes,0.6087433099746704,NEUTRAL,0.3912566900253296,0.3274885654624842,0.08763683800988983,0
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,deltsmusic,Já já chega a galera reclamando que a cidade que vive do turismo tá fazendo show p turista 😂,1757,"sentimento: {label: NEUTRAL, score: 0.762205183506012}",2025-05-28 09:56:09.888547,112343,eduardopaes,0.762205183506012,NEUTRAL,0.23779481649398804,3.045875421741271,2.0702095335830086,2
https://www.instagram.com/eduardopaes/reel/DJHvtIcyxAX/,rio.joaozinho,É o Rio recebendo o 🌍 mais uma vez! Golaço prefeito 👏👏🙌,246,"sentimento: {label: NEUTRAL, score: 0.7279377579689026}",2025-05-28 09:56:11.624778,112343,eduardopaes,0.7279377579689026,NEUTRAL,0.2720622420310974,0.9172181830449989,-0.05049935632884606,0
